DATE,BUSLOANS
2014-01-01,1586.8147
2014-02-01,1619.9149
2014-03-01,1634.2248
2014-04-01,1650.9991
2014-05-01,1663.6423
2014-06-01,1676.8625
2014-07-01,1694.88
2014-08-01,1711.9741
2014-09-01,1725.4095
2014-10-01,1730.0136
2014-11-01,1751.3963
2014-12-01,1773.323
2015-01-01,1791.6118
2015-02-01,1808.048
2015-03-01,1834.7148
2015-04-01,1847.7246
2015-05-01,1863.4958
2015-06-01,1880.2715
2015-07-01,1889.5767
2015-08-01,1903.6165
2015-09-01,1914.7144
2015-10-01,1928.8564
2015-11-01,1946.0584
2015-12-01,1953.1034
2016-01-01,1964.0616
2016-02-01,1987.3091
2016-03-01,2019.2543
2016-04-01,2033.4852
2016-05-01,2048.2425
2016-06-01,2051.0653
2016-07-01,2057.909
2016-08-01,2051.323
2016-09-01,2069.0274
2016-10-01,2084.179
2016-11-01,2088.9211
2016-12-01,2083.9454
2017-01-01,2082.7824
2017-02-01,2082.8931
2017-03-01,2066.8359
2017-04-01,2068.2144
2017-05-01,2072.2691
2017-06-01,2073.4323
2017-07-01,2076.8906
2017-08-01,2084.7599
2017-09-01,2102.6863
2017-10-01,2111.2437
2017-11-01,2106.0707
2017-12-01,2105.8936
2018-01-01,2110.4109
2018-02-01,2112.0832
2018-03-01,2125.2996
2018-04-01,2168.8096
2018-05-01,2174.5393
2018-06-01,2191.3585
2018-07-01,2204.1995
2018-08-01,2207.1228
2018-09-01,2220.2218
2018-10-01,2242.8657
2018-11-01,2270.5406
2018-12-01,2303.6733
2019-01-01,2324.823
2019-02-01,2330.6452
2019-03-01,2340.609
2019-04-01,2332.2297
2019-05-01,2334.8093
2019-06-01,2338.9447
2019-07-01,2346.5534
2019-08-01,2360.7362
2019-09-01,2362.6089
2019-10-01,2360.6859
2019-11-01,2364.1283
2019-12-01,2359.0938
2020-01-01,2353.6707
2020-02-01,2349.8658
2020-03-01,2568.8228
2020-04-01,2930.7712
2020-05-01,3039.9062
2020-06-01,2927.9896
2020-07-01,2859.1084
2020-08-01,2810.3164
2020-09-01,2746.6877
2020-10-01,2684.0988
2020-11-01,2634.1552
2020-12-01,2600.1935
