DATE,M08324USM350SNBR
1962-01-01,100.3
1962-02-01,100.1
1962-03-01,100.0
1962-04-01,100.5
1962-05-01,100.4
1962-06-01,100.7
1962-07-01,100.3
1962-08-01,100.2
1962-09-01,100.3
1962-10-01,100.6
1962-11-01,100.6
1962-12-01,101.0
1963-01-01,101.0
1963-02-01,100.5
1963-03-01,99.8
1963-04-01,99.2
1963-05-01,99.0
1963-06-01,98.5
1963-07-01,99.0
1963-08-01,99.2
1963-09-01,99.6
1963-10-01,99.9
1963-11-01,100.5
1963-12-01,100.2
1964-01-01,99.3
1964-02-01,99.8
1964-03-01,99.8
1964-04-01,99.4
1964-05-01,99.0
1964-06-01,99.4
1964-07-01,99.2
1964-08-01,99.7
1964-09-01,101.1
1964-10-01,101.4
1964-11-01,99.8
1964-12-01,99.4
1965-01-01,98.9
1965-02-01,98.9
1965-03-01,98.7
1965-04-01,98.8
1965-05-01,99.0
1965-06-01,98.8
1965-07-01,98.7
1965-08-01,99.0
1965-09-01,99.8
1965-10-01,100.3
1965-11-01,100.3
1965-12-01,99.5
1966-01-01,99.4
1966-02-01,99.9
1966-03-01,99.8
1966-04-01,100.9
1966-05-01,100.6
1966-06-01,100.9
1966-07-01,100.8
1966-08-01,101.6
1966-09-01,101.9
1966-10-01,102.1
1966-11-01,102.6
1966-12-01,102.5
1967-01-01,104.2
1967-02-01,104.4
1967-03-01,105.0
1967-04-01,104.7
1967-05-01,105.5
1967-06-01,106.3
1967-07-01,106.5
1967-08-01,106.6
1967-09-01,107.5
1967-10-01,107.1
1967-11-01,107.1
1967-12-01,106.6
1968-01-01,108.3
1968-02-01,109.0
1968-03-01,108.9
1968-04-01,109.1
1968-05-01,109.7
1968-06-01,109.6
1968-07-01,109.9
1968-08-01,111.4
1968-09-01,112.0
1968-10-01,111.7
1968-11-01,111.6
1968-12-01,111.9
