DATE,ICSA
2014-01-01,326750.000000000000
2014-02-01,335250.000000000000
2014-03-01,321000.000000000000
2014-04-01,322750.000000000000
2014-05-01,313800.000000000000
2014-06-01,313500.000000000000
2014-07-01,301750.000000000000
2014-08-01,302000.000000000000
2014-09-01,295000.000000000000
2014-10-01,288750.000000000000
2014-11-01,291600.000000000000
2014-12-01,284500.000000000000
2015-01-01,287600.000000000000
2015-02-01,301250.000000000000
2015-03-01,284000.000000000000
2015-04-01,286000.000000000000
2015-05-01,274000.000000000000
2015-06-01,273750.000000000000
2015-07-01,277750.000000000000
2015-08-01,275200.000000000000
2015-09-01,269500.000000000000
2015-10-01,267000.000000000000
2015-11-01,268500.000000000000
2015-12-01,271000.000000000000
2016-01-01,279600.000000000000
2016-02-01,266750.000000000000
2016-03-01,263250.000000000000
2016-04-01,266000.000000000000
2016-05-01,274500.000000000000
2016-06-01,265250.000000000000
2016-07-01,259400.000000000000
2016-08-01,263500.000000000000
2016-09-01,251500.000000000000
2016-10-01,255800.000000000000
2016-11-01,245750.000000000000
2016-12-01,252200.000000000000
2017-01-01,246500.000000000000
2017-02-01,239750.000000000000
2017-03-01,250250.000000000000
2017-04-01,242000.000000000000
2017-05-01,239750.000000000000
2017-06-01,240250.000000000000
2017-07-01,243600.000000000000
2017-08-01,239750.000000000000
2017-09-01,269400.000000000000
2017-10-01,236250.000000000000
2017-11-01,238500.000000000000
2017-12-01,235800.000000000000
2018-01-01,234250.000000000000
2018-02-01,221500.000000000000
2018-03-01,225600.000000000000
2018-04-01,222500.000000000000
2018-05-01,221250.000000000000
2018-06-01,221600.000000000000
2018-07-01,219750.000000000000
2018-08-01,214500.000000000000
2018-09-01,211800.000000000000
2018-10-01,214750.000000000000
2018-11-01,220750.000000000000
2018-12-01,217600.000000000000
2019-01-01,220000.000000000000
2019-02-01,226500.000000000000
2019-03-01,217800.000000000000
2019-04-01,215000.000000000000
2019-05-01,218000.000000000000
2019-06-01,221200.000000000000
2019-07-01,212000.000000000000
2019-08-01,215800.000000000000
2019-09-01,212750.000000000000
2019-10-01,214250.000000000000
2019-11-01,217600.000000000000
2019-12-01,225250.000000000000
2020-01-01,211250.000000000000
2020-02-01,212200.000000000000
2020-03-01,2344000.000000000000
2020-04-01,4667750.000000000000
2020-05-01,2148000.000000000000
2020-06-01,1476250.000000000000
2020-07-01,1384250.000000000000
2020-08-01,918600.000000000000
2020-09-01,851000.000000000000
2020-10-01,789200.000000000000
2020-11-01,735250.000000000000
2020-12-01,823000.000000000000
