DATE,M2
2014-01-01,11072.1500000000000000
2014-02-01,11154.2750000000000000
2014-03-01,11198.3600000000000000
2014-04-01,11256.6000000000000000
2014-05-01,11316.8000000000000000
2014-06-01,11379.7800000000000000
2014-07-01,11438.1750000000000000
2014-08-01,11465.9750000000000000
2014-09-01,11501.5800000000000000
2014-10-01,11563.4250000000000000
2014-11-01,11590.5000000000000000
2014-12-01,11672.7800000000000000
2015-01-01,11725.5500000000000000
2015-02-01,11853.3500000000000000
2015-03-01,11882.7000000000000000
2015-04-01,11929.1750000000000000
2015-05-01,11952.0000000000000000
2015-06-01,12003.620000000000
2015-07-01,12059.6250000000000000
2015-08-01,12104.700000000000
2015-09-01,12166.0750000000000000
2015-10-01,12182.4250000000000000
2015-11-01,12284.660000000000
2015-12-01,12341.2250000000000000
2016-01-01,12445.2250000000000000
2016-02-01,12544.160000000000
2016-03-01,12605.750000000000
2016-04-01,12685.625000000000
2016-05-01,12766.460000000000
2016-06-01,12833.525000000000
2016-07-01,12881.650000000000
2016-08-01,12974.060000000000
2016-09-01,13040.325000000000
2016-10-01,13106.340000000000
2016-11-01,13181.850000000000
2016-12-01,13209.025000000000
2017-01-01,13278.900000000000
2017-02-01,13352.575000000000
2017-03-01,13421.900000000000
2017-04-01,13474.650000000000
2017-05-01,13541.340000000000
2017-06-01,13570.925000000000
2017-07-01,13625.960000000000
2017-08-01,13685.925000000000
2017-09-01,13722.075000000000
2017-10-01,13779.700000000000
2017-11-01,13806.150000000000
2017-12-01,13846.550000000000
2018-01-01,13864.920000000000
2018-02-01,13901.050000000000
2018-03-01,13958.875000000000
2018-04-01,14000.000000000000
2018-05-01,14063.025000000000
2018-06-01,14128.175000000000
2018-07-01,14166.460000000000
2018-08-01,14206.200000000000
2018-09-01,14238.750000000000
2018-10-01,14252.180000000000
2018-11-01,14250.000000000000
2018-12-01,14359.920000000000
2019-01-01,14444.650000000000
2019-02-01,14473.575000000000
2019-03-01,14513.775000000000
2019-04-01,14568.180000000000
2019-05-01,14654.425000000000
2019-06-01,14776.375000000000
2019-07-01,14865.700000000000
2019-08-01,14937.650000000000
2019-09-01,15027.660000000000
2019-10-01,15154.650000000000
2019-11-01,15253.700000000000
2019-12-01,15316.280000000000
2020-01-01,15408.700000000000
2020-02-01,15447.575000000000
2020-03-01,15910.380000000000
2020-04-01,16961.825000000000
2020-05-01,17829.950000000000
2020-06-01,18141.420000000000
2020-07-01,18333.200000000000
2020-08-01,18373.960000000000
2020-09-01,18623.700000000000
2020-10-01,18727.700000000000
2020-11-01,18951.460000000000
2020-12-01,19089.125000000000
