,CEI01,CEI02,CEI03,CEI04
DATE,PAYEMS,W875RX1,INDPRO,CMRMTSPL
2014-01-01,137548,11800.5,100.038,1328414
2014-02-01,137714,11870.9,100.7918,1339979
2014-03-01,137968,11933,101.7782,1350652
2014-04-01,138293,11965.2,101.8337,1352609
2014-05-01,138511,11993.1,102.2325,1356343
2014-06-01,138837,12042.7,102.5722,1355815
2014-07-01,139069,12085.3,102.8479,1364444
2014-08-01,139257,12150.7,102.6491,1366998
2014-09-01,139566,12196.7,102.9858,1366811
2014-10-01,139818,12257,102.9911,1368570
2014-11-01,140109,12329.5,103.6669,1372234
2014-12-01,140377,12408.3,103.6139,1380177
2015-01-01,140568,12507.8,102.8479,1382524
2015-02-01,140839,12552.7,102.2292,1376941
2015-03-01,140910,12508.2,101.8945,1384614
2015-04-01,141194,12543.4,101.2859,1395091
2015-05-01,141525,12569.5,100.8408,1381123
2015-06-01,141699,12576.7,100.5063,1383784
2015-07-01,142001,12599.4,101.1831,1386840
2015-08-01,142126,12627.1,100.9115,1388664
2015-09-01,142281,12663,100.568,1403145
2015-10-01,142587,12700.5,100.1588,1399866
2015-11-01,142824,12694.1,99.4099,1396940
2015-12-01,143097,12743.1,98.8329,1394894
2016-01-01,143205,12751.1,99.4797,1395837
2016-02-01,143417,12745.9,98.9583,1407109
2016-03-01,143654,12745.1,98.1954,1407621
2016-04-01,143851,12725.5,98.4673,1405968
2016-05-01,143892,12719.2,98.2889,1398587
2016-06-01,144150,12735.5,98.7201,1406826
2016-07-01,144521,12787.7,98.8992,1405222
2016-08-01,144664,12793.7,98.7249,1416348
2016-09-01,144953,12830.4,98.606,1417950
2016-10-01,145071,12841,98.6703,1420099
2016-11-01,145201,12881.2,98.2288,1420567
2016-12-01,145415,12917.3,98.8958,1437758
2017-01-01,145612,12957.6,98.7446,1431582
2017-02-01,145795,13011.8,98.3676,1428319
2017-03-01,145934,13063.2,99.1065,1425497
2017-04-01,146154,13084.8,100.0363,1422919
2017-05-01,146295,13173.3,100.147,1427911
2017-06-01,146506,13177.9,100.3042,1432684
2017-07-01,146734,13222.8,100.2092,1438238
2017-08-01,146924,13244.8,99.7055,1445591
2017-09-01,146966,13276.4,99.7485,1452359
2017-10-01,147215,13325.2,100.988,1460463
2017-11-01,147411,13382.1,101.273,1473085
2017-12-01,147590,13422.6,101.3696,1482650
2018-01-01,147671,13421.6,101.3561,1465400
2018-02-01,148049,13450.9,101.6495,1469823
2018-03-01,148244,13476.5,102.298,1467346
2018-04-01,148397,13487.3,103.4095,1467032
2018-05-01,148667,13519.6,102.5408,1475638
2018-06-01,148881,13565.8,103.3045,1473756
2018-07-01,149030,13632.8,103.5474,1475209
2018-08-01,149259,13683.6,104.1659,1482301
2018-09-01,149364,13674.3,104.1315,1481916
2018-10-01,149576,13683,103.9874,1478780
2018-11-01,149668,13707.6,103.9127,1477080
2018-12-01,149908,13877.6,103.867,1476549
2019-01-01,150145,13853.2,103.3023,1484508
2019-02-01,150095,13893.5,102.728,1483800
2019-03-01,150263,13899.9,102.8635,1483449
2019-04-01,150482,13857.4,102.2543,1469179
2019-05-01,150545,13850.5,102.4519,1473415
2019-06-01,150720,13853,102.384,1485563
2019-07-01,150913,13848.4,102.0568,1485053
2019-08-01,151108,13912.9,102.6882,1493174
2019-09-01,151329,13933.7,102.3143,1491257
2019-10-01,151524,13947.5,101.4645,1482087
2019-11-01,151758,14024,101.9876,1488074
2019-12-01,151919,13997.4,101.6179,1485052
2020-01-01,152234,14113.8,101.0918,1486517
2020-02-01,152523,14225.6,101.3247,1491663
2020-03-01,150840,13872.2,97.4477,1432305
2020-04-01,130161,13088,84.2018,1267304
2020-05-01,132994,13325.5,85.8434,1368553
2020-06-01,137840,13543.8,91.1622,1473373
2020-07-01,139566,13678.8,94.8887,1512209
2020-08-01,141149,13822.2,95.8924,1515433
2020-09-01,141865,13959.5,95.6019,1524622
2020-10-01,142545,14153.1,96.6454,1539562
2020-11-01,142809,14115.8,97.1609,1536717
2020-12-01,142503,14119.8,98.2854,1530635
