,LEI01,LEI02,LEI03,LEI04,LEI05,LEI06,LEI07,LEI08,LEI09,LEI10
DATE,AWHMAN,ICSA,ACDGNO,M06006USM156NNBR,NEWORDER,PERMIT,SP500,M2,T10YFF,ICS
2014-01-01,41.6,326750,32797,44,68237,976,1822.356667,11072.15,2.786666667,81.2
2014-02-01,41.6,335250,34641,30,67386,1039,1817.034737,11154.275,2.642105263,81.6
2014-03-01,42,321000,35032,27,68683,1067,1863.523333,11198.36,2.644285714,80
2014-04-01,41.9,322750,34319,28,66486,1090,1864.263333,11256.6,2.615238095,84.1
2014-05-01,42.1,313800,35937,32,65819,1018,1889.767143,11316.8,2.471904762,81.9
2014-06-01,42.1,313500,35256,34,69618,1010,1947.087619,11379.78,2.502857143,82.5
2014-07-01,42,301750,37653,36,67842,1076,1973.1,11438.175,2.450909091,81.8
2014-08-01,42,302000,35743,40,68514,1047,1961.531905,11465.975,2.330952381,82.5
2014-09-01,42.2,295000,36054,41,69207,1077,1993.22619,11501.58,2.445714286,84.6
2014-10-01,42.1,288750,36663,39,65557,1094,1937.274348,11563.425,2.215454545,86.9
2014-11-01,42.2,291600,35986,38,63687,1059,2044.572105,11590.5,2.230555556,88.8
2014-12-01,42.1,284500,37748,38,66300,1072,2054.266364,11672.78,2.085909091,93.6
2015-01-01,42,287600,35138,38,64791,1049,2028.1785,11725.55,1.765,98.1
2015-02-01,42,301250,35121,40,64232,1127,2082.195789,11853.35,1.861578947,95.4
2015-03-01,41.8,284000,38295,40,64712,1072,2079.990455,11882.7,1.929090909,93
2015-04-01,41.8,286000,37376,47,64365,1166,2094.862857,11929.175,1.810454545,95.9
2015-05-01,41.8,274000,37914,48,62596,1272,2111.9435,11952,2.073,90.7
2015-06-01,41.8,273750,38742,48,63739,1379,2099.283636,12003.62,2.235,96.1
2015-07-01,41.8,277750,39775,49,63551,1140,2094.143636,12059.625,2.194090909,93.1
2015-08-01,41.8,275200,38858,52,63525,1165,2039.86619,12104.7,2.025238095,91.9
2015-09-01,41.7,269500,39627,55,63188,1144,1944.402381,12166.075,2.037619048,87.2
2015-10-01,41.8,267000,38230,55,62996,1160,2024.812727,12182.425,1.945714286,90
2015-11-01,41.8,268500,39604,51,61848,1244,2080.6165,12284.66,2.144210526,91.3
2015-12-01,41.8,271000,39078,53,60613,1212,2054.079545,12341.225,2.010909091,92.6
2016-01-01,41.9,279600,39843,56,61637,1161,1918.597895,12445.225,1.722631579,92
2016-02-01,41.8,266750,40369,56,61150,1187,1904.4185,12544.16,1.4055,91.7
2016-03-01,41.8,263250,38898,55,60583,1114,2021.954091,12605.75,1.528181818,91
2016-04-01,41.8,266000,39503,48,60924,1158,2075.535238,12685.625,1.438571429,89
2016-05-01,41.9,274500,38249,46,59566,1196,2065.550952,12766.46,1.44,94.7
2016-06-01,41.8,265250,38897,42,59608,1208,2083.891364,12833.525,1.267272727,93.5
2016-07-01,42,259400,39097,44,59809,1190,2148.902,12881.65,1.1085,90
2016-08-01,41.8,263500,39441,44,61691,1205,2177.482174,12974.06,1.160869565,89.8
2016-09-01,41.9,251500,39480,48,59308,1280,2157.690952,13040.325,1.235714286,91.2
2016-10-01,41.9,255800,38996,48,59351,1278,2143.020952,13106.34,1.362,87.2
2016-11-01,41.9,245750,38387,48,59244,1236,2164.985714,13181.85,1.737,93.8
2016-12-01,41.9,252200,39181,48,59539,1252,2246.629048,13209.025,1.956190476,98.2
2017-01-01,41.9,246500,39243,50,60419,1301,2275.116,13278.9,1.7775,98.5
2017-02-01,41.9,239750,38081,52,60740,1240,2329.910526,13352.575,1.763684211,96.3
2017-03-01,41.8,250250,37780,54,61013,1285,2366.822174,13421.9,1.695217391,96.9
2017-04-01,41.9,242000,36786,60,61308,1258,2359.309474,13474.65,1.391578947,97
2017-05-01,41.9,239750,38440,58,61404,1209,2395.345909,13541.34,1.397272727,97.1
2017-06-01,42,240250,37874,54,60378,1329,2433.985455,13570.925,1.145,95
2017-07-01,42,243600,36291,42,61535,1264,2454.1025,13625.96,1.1625,93.4
2017-08-01,42,239750,37574,48,61552,1314,2456.223043,13685.925,1.053043478,96.8
2017-09-01,41.9,269400,37184,52,64088,1257,2492.841,13722.075,1.047,95.1
2017-10-01,42,236250,38000,48,63703,1346,2556.997273,13779.7,1.204285714,100.7
2017-11-01,42,238500,38615,48,63645,1302,2593.605714,13806.15,1.197619048,98.5
2017-12-01,41.8,235800,37841,46,63795,1309,2664.3405,13846.55,1.104,95.9
2018-01-01,41.8,234250,38776,55,63324,1352,2789.80381,13864.92,1.167619048,95.7
2018-02-01,42.2,221500,39189,54,64087,1332,2705.155263,13901.05,1.442631579,99.7
2018-03-01,42.2,225600,39356,60,63553,1407,2702.77381,13958.875,1.344761905,101.4
2018-04-01,42.3,222500,40478,60,64909,1391,2653.625238,14000,1.176666667,98.8
2018-05-01,42,221250,37069,63,66231,1331,2701.493636,14063.025,1.277727273,98
2018-06-01,42.1,221600,39198,55,67247,1320,2754.352857,14128.175,1.091428571,98.2
2018-07-01,42.2,219750,40015,59,68749,1328,2793.643333,14166.46,0.979047619,97.9
2018-08-01,42.1,214500,39484,65,66798,1264,2857.820435,14206.2,0.9743478261,96.2
2018-09-01,42.1,211800,40014,74,66399,1289,2901.500526,14238.75,1.055263158,100.1
2018-10-01,42.1,214750,40952,72,67104,1275,2785.464783,14252.18,0.9640909091,98.6
2018-11-01,42,220750,40417,70,64292,1318,2723.229524,14250,0.918,97.5
2018-12-01,42.1,217600,40964,66,64894,1338,2567.307368,14359.92,0.5621052632,98.3
2019-01-01,41.9,220000,40257,68,65841,1295,2607.39,14444.65,0.3138095238,91.2
2019-02-01,41.7,226500,39965,72,65221,1304,2754.864211,14473.575,0.2763157895,93.8
2019-03-01,41.7,217800,40177,66,66457,1316,2803.98381,14513.775,0.1671428571,98.4
2019-04-01,41.6,215000,38628,72,65737,1337,2903.8,14568.18,0.11,97.2
