,LGEI01,LGEI02,LGEI03,LGEI04,LGEI05,LGEI06,LGEI07
DATE,UEMPMEAN,MNFCTRIRSA,M08324USM350SNBR,DPRIME,BUSLOANS,TOTALSL_DSPI,CPI_All
2014-01-01,35.1,1.3,100.3,3.25,1586.8147,0.2429548231,1.6
2014-02-01,36.5,1.29,100.1,3.25,1619.9149,0.2428057631,1.1
2014-03-01,35.3,1.3,100,3.25,1634.2248,0.2424177882,1.5
2014-04-01,34.9,1.3,100.5,3.25,1650.9991,0.2428391069,2
2014-05-01,34.4,1.31,100.4,3.25,1663.6423,0.2429151479,2.1
2014-06-01,33.9,1.31,100.7,3.25,1676.8625,0.2430105497,2.1
2014-07-01,32.7,1.3,100.3,3.25,1694.88,0.2435972116,2
2014-08-01,32,1.31,100.2,3.25,1711.9741,0.2436839098,1.7
2014-09-01,31.9,1.32,100.3,3.25,1725.4095,0.2440873856,1.7
2014-10-01,32.3,1.33,100.6,3.25,1730.0136,0.2438187295,1.7
2014-11-01,32.7,1.35,100.6,3.25,1751.3963,0.2437575781,1.3
2014-12-01,32.7,1.35,101,3.25,1773.323,0.2444846529,0.8
2015-01-01,32,1.39,101,3.25,1791.6118,0.2446931042,-0.1
2015-02-01,31.2,1.38,100.5,3.25,1808.048,0.2445579748,0
2015-03-01,30.5,1.37,99.8,3.25,1834.7148,0.2466747803,-0.1
2015-04-01,30.9,1.38,99.2,3.25,1847.7246,0.2475019834,-0.2
2015-05-01,30.7,1.39,99,3.25,1863.4958,0.2476640973,0
2015-06-01,28.4,1.38,98.5,3.25,1880.2715,0.2488795525,0.1
2015-07-01,28.1,1.39,99,3.25,1889.5767,0.2494249835,0.2
2015-08-01,28.4,1.4,99.2,3.25,1903.6165,0.2498586667,0.2
2015-09-01,25.7,1.4,99.6,3.25,1914.7144,0.2515459724,0
2015-10-01,27.5,1.41,99.9,3.25,1928.8564,0.2521812229,0.2
2015-11-01,27.9,1.41,100.5,3.25,1946.0584,0.253284927,0.5
2015-12-01,27.9,1.44,100.2,3.363636364,1953.1034,0.2442636452,0.7
2016-01-01,29.1,1.44,99.3,3.5,1964.0616,0.2444943857,1.4
2016-02-01,29.4,1.43,99.8,3.5,1987.3091,0.2455861958,1
2016-03-01,28.3,1.43,99.8,3.5,2019.2543,0.2471141157,0.9
2016-04-01,27.9,1.42,99.4,3.5,2033.4852,0.2480780988,1.1
2016-05-01,26.9,1.42,99,3.5,2048.2425,0.2490357313,1
2016-06-01,28,1.41,99.4,3.5,2051.0653,0.2499065614,1
2016-07-01,27.8,1.42,99.2,3.5,2057.909,0.2502145252,0.8
2016-08-01,27.2,1.42,99.7,3.5,2051.323,0.2510667993,1.1
2016-09-01,26.5,1.41,101.1,3.5,2069.0274,0.2515428622,1.5
2016-10-01,26.6,1.41,101.4,3.5,2084.179,0.2516687025,1.6
2016-11-01,25.9,1.42,99.8,3.5,2088.9211,0.2527585312,1.7
2016-12-01,26.3,1.39,99.4,3.630952381,2083.9454,0.2530345661,2.1
2017-01-01,25.4,1.39,98.9,3.75,2082.7824,0.2521057163,2.5
2017-02-01,25.5,1.4,98.9,3.75,2082.8931,0.2520894458,2.7
2017-03-01,25.3,1.39,98.7,3.880434783,2066.8359,0.2522581175,2.4
2017-04-01,23.9,1.41,98.8,4,2068.2144,0.2521016939,2.2
2017-05-01,24.9,1.39,99,4,2072.2691,0.2514218319,1.9
2017-06-01,25.1,1.4,98.8,4.136363636,2073.4323,0.252304915,1.6
2017-07-01,25,1.41,98.7,4.25,2076.8906,0.2526041107,1.7
2017-08-01,24.2,1.39,99,4.25,2084.7599,0.2524265547,1.9
2017-09-01,26.1,1.4,99.8,4.25,2102.6863,0.2521177825,2.2
2017-10-01,25.7,1.39,100.3,4.25,2111.2437,0.2526183755,2
2017-11-01,25.2,1.37,100.3,4.25,2106.0707,0.2536139496,2.2
2017-12-01,24,1.37,99.5,4.3875,2105.8936,0.253725767,2.1
2018-01-01,24.3,1.37,99.4,4.5,2110.4109,0.2519674144,2.1
2018-02-01,23,1.37,99.9,4.5,2112.0832,0.2517360909,2.2
2018-03-01,24,1.37,99.8,4.579545455,2125.2996,0.2512367002,2.4
2018-04-01,22.5,1.37,100.9,4.75,2168.8096,0.2504045631,2.5
2018-05-01,21.1,1.36,100.6,4.75,2174.5393,0.250545449,2.8
2018-06-01,21.5,1.35,100.9,4.892857143,2191.3585,0.2500210531,2.9
2018-07-01,23.3,1.37,100.8,5,2204.1995,0.2502823378,2.9
2018-08-01,22.6,1.35,101.6,5,2207.1228,0.2503894232,2.7
2018-09-01,23.9,1.36,101.9,5.026315789,2220.2218,0.2508877514,2.3
2018-10-01,22.4,1.36,102.1,5.25,2242.8657,0.2508796498,2.5
2018-11-01,21.6,1.38,102.6,5.25,2270.5406,0.2516639944,2.2
2018-12-01,22,1.39,102.5,5.3375,2303.6733,0.249781323,1.9
2019-01-01,20.9,1.41,104.2,5.5,2324.823,0.2509646352,1.6
2019-02-01,21.8,1.41,104.4,5.5,2330.6452,0.2511941644,1.5
2019-03-01,22.1,1.42,105,5.5,2340.609,0.2514500854,1.9
2019-04-01,22.5,1.44,104.7,5.5,2332.2297,0.2524497793,2
2019-05-01,24.3,1.45,105.5,5.5,2334.8093,0.2533682974,1.8
2019-06-01,22.3,1.46,106.3,5.5,2338.9447,0.2539587913,1.6
2019-07-01,20,1.47,106.5,5.5,2346.5534,0.2546277465,1.8
2019-08-01,22.1,1.48,106.6,5.25,2360.7362,0.2538335836,1.7
2019-09-01,22.1,1.49,107.5,5.15,2362.6089,0.2539807288,1.7
2019-10-01,21.8,1.5,107.1,4.988636364,2360.6859,0.2539563725,1.8
2019-11-01,19.7,1.5,107.1,4.75,2364.1283,0.2530986043,2.1
2019-12-01,20.8,1.51,106.6,4.75,2359.0938,0.2549327937,2.3
2020-01-01,22.2,1.52,108.3,4.75,2353.6707,0.252723231,2.5
2020-02-01,20.8,1.51,109,4.75,2349.8658,0.251989033,2.3
2020-03-01,16.7,1.58,108.9,3.75,2568.8228,0.2556199917,1.5
2020-04-01,6.1,1.83,109.1,3.25,2930.7712,0.2188105907,0.3
2020-05-01,10.4,1.79,109.7,3.25,3039.9062,0.2288626559,0.1
2020-06-01,15.5,1.63,109.6,3.25,2927.9896,0.2327833889,0.6
2020-07-01,17.3,1.54,109.9,3.25,2859.1084,0.231495817,1
2020-08-01,20,1.54,111.4,3.25,2810.3164,0.2390049673,1.3
2020-09-01,21,1.53,112,3.25,2746.6877,0.238225737,1.4
2020-10-01,21.4,1.51,111.7,3.25,2684.0988,0.2392839542,1.2
2020-11-01,23,1.51,111.6,3.25,2634.1552,0.243020546,1.2
2020-12-01,23.4,1.49,111.9,3.25,2600.1935,0.2422974114,1.4
